Feature,Importance
ap_hi,0.17020236580961692
ap_hi_age,0.13716530379682437
MAP,0.10186041170024286
ap_lo_age,0.08066173681292613
age_years,0.0519881543134856
age_cubed,0.05094063870443711
BMI,0.05050864675532576
age_squared,0.0503724006448887
weight_height_ratio,0.049322719950482506
ap_lo,0.04399675313687248
pulse_pressure,0.04371597844762379
cholesterol,0.0432377442405903
weight,0.037219778398764385
height,0.035786958821159016
bp_ratio,0.020966354360742543
gluc,0.010161805749213455
active,0.008519595222067518
gender,0.006183877109983164
smoke,0.004279080456340714
alco,0.0029096955684127057
